t,A,B,C
-0.0433,0.577572703422268,-0.995756880938569,0.4181841775163
-0.0432,0.546394346734268,-0.99851773242542,0.452123385691151
-0.0431,0.514439533781505,-0.99985963557678,0.485420101795275
-0.043,0.481753674101715,-0.999780683474845,0.518027009373129
-0.0429,0.448383216090031,-0.998280988314872,0.54989777222484
-0.0428,0.414375580993285,-0.995362681245744,0.580987100252458
-0.0427,0.379779095521801,-0.991029909341493,0.611250813819691
-0.0426,0.344642923174516,-0.985288829708079,0.640645906533562
-0.0425,0.309016994374945,-0.978147600733805,0.669130606358859
-0.0424,0.272951935517323,-0.969616370495806,0.696664434978483
-0.0423,0.236498997023725,-0.959707262339067,0.723208265315342
-0.0422,0.199709980514406,-0.948434357648493,0.748724377134087
-0.0421,0.162637165194883,-0.935813675838491,0.773176510643607
-0.042,0.125333233564303,-0.9218631515885,0.796529918024196
-0.0419,0.0878511965507407,-0.906602609356837,0.818751412806095
-0.0418,0.0502443181797694,-0.890053735209053,0.839809417029282
-0.0417,0.0125660398833512,-0.872240046000843,0.859674006117491
-0.0416,-0.0251300954433365,-0.853186855959321,0.878316951402657
-0.0415,-0.0627905195293136,-0.8329212407101,0.895711760239412
-0.0414,-0.100361714851216,-0.81147199880136,0.911833713652576
-0.0413,-0.137790290684639,-0.788869610779534,0.926659901464173
-0.0412,-0.175023058975278,-0.765146195874773,0.940169254850051
-0.0411,-0.212007109922054,-0.740335466357779,0.952342576279833
-0.041,-0.248689887164856,-0.714472679632803,0.963162566797659
-0.0409,-0.285019262469976,-0.687594588134968,0.972613850604943
-0.0408,-0.320943609807209,-0.659739387103027,0.980682996910236
-0.0407,-0.356411878713252,-0.630946660301849,0.987358539015101
-0.0406,-0.391373666837203,-0.601257323771727,0.992630990608929
-0.0405,-0.425779291565074,-0.570713567684431,0.996492859249504
-0.0404,-0.459579860621487,-0.539358796388685,0.998938657010171
-0.0403,-0.492727341548292,-0.507237566730189,0.999964908278481
-0.0402,-0.525174629961297,-0.474395524733928,0.999570154695225
-0.0401,-0.556875616488189,-0.440879340738658,0.997754957226846
-0.04,-0.587785252292474,-0.4067366430758,0.994521895368273
-0.0399,-0.617859613090334,-0.372015950386982,0.989875563477316
-0.0398,-0.647055961569445,-0.336766602676388,0.983822564245832
-0.0397,-0.675332808121024,-0.301038691195922,0.976371499316945
-0.0396,-0.702649969798849,-0.264882987262781,0.96753295706163
-0.0395,-0.728968627421412,-0.228350870110655,0.957319497532067
-0.0394,-0.754251380736104,-0.191494253877013,0.945745634613117
-0.0393,-0.778462301567025,-0.15436551383027,0.932827815397294
-0.0392,-0.801566984870876,-0.117017411941679,0.918584396812555
-0.0391,-0.823532597628428,-0.0795030219076596,0.903035619536087
-0.039,-0.844327925502016,-0.0418756537291983,0.886203579231214
-0.0389,-0.863923417192835,-0.00418877795540491,0.86811219514824
-0.0388,-0.882291226434954,0.0335040503010717,0.848787176133882
-0.0387,-0.899405251566371,0.0711492674687665,0.828255984097604
-0.0386,-0.915241172620918,0.108693377634186,0.806547794986731
-0.0385,-0.929776485888252,0.146083028562414,0.783693457325838
-0.0384,-0.942990535892865,0.183265087513559,0.759725448379304
-0.0383,-0.954864544746643,0.220186716747302,0.73467782799934
-0.0382,-0.965381638833274,0.256795448608186,0.708586190225086
-0.0381,-0.974526872786577,0.293039260085057,0.681487612701519
-0.038,-0.982287250728689,0.328866646738582,0.653420603990106
-0.0379,-0.988651744737914,0.364226695891899,0.624425048846016
-0.0378,-0.993611310520009,0.399069158980297,0.594542151539712
-0.0377,-0.997158900260614,0.433344522957186,0.563814377303428
-0.0376,-0.999289472640589,0.467004080654856,0.532285391985734
-0.0375,-1,0.499999999999998,0.500000000000002
-0.0374,-0.999289472640589,0.532285391985733,0.467004080654856
-0.0373,-0.997158900260614,0.563814377303427,0.433344522957187
-0.0372,-0.993611310520008,0.594542151539715,0.399069158980294
-0.0371,-0.988651744737914,0.624425048846014,0.364226695891899
-0.037,-0.982287250728689,0.653420603990104,0.328866646738583
-0.0369,-0.974526872786577,0.68148761270152,0.293039260085056
-0.0368,-0.965381638833273,0.708586190225087,0.256795448608185
-0.0367,-0.954864544746642,0.734677827999343,0.220186716747298
-0.0366,-0.942990535892865,0.759725448379304,0.18326508751356
-0.0365,-0.929776485888251,0.78369345732584,0.146083028562411
-0.0364,-0.915241172620917,0.806547794986733,0.108693377634183
-0.0363,-0.89940525156637,0.828255984097605,0.0711492674687636
-0.0362,-0.882291226434952,0.848787176133883,0.033504050301067
-0.0361,-0.863923417192835,0.868112195148239,-0.00418877795540423
-0.036,-0.844327925502016,0.886203579231214,-0.0418756537291994
-0.0359,-0.823532597628427,0.903035619536087,-0.0795030219076607
-0.0358,-0.801566984870876,0.918584396812554,-0.11701741194168
-0.0357,-0.778462301567022,0.932827815397295,-0.154365513830274
-0.0356,-0.754251380736105,0.945745634613116,-0.191494253877012
-0.0355,-0.728968627421412,0.957319497532067,-0.228350870110656
-0.0354,-0.702649969798848,0.96753295706163,-0.264882987262782
-0.0353,-0.675332808121023,0.976371499316945,-0.301038691195923
-0.0352,-0.647055961569446,0.983822564245832,-0.336766602676387
-0.0351,-0.617859613090335,0.989875563477316,-0.372015950386981
-0.035,-0.587785252292473,0.994521895368273,-0.406736643075801
-0.0349,-0.556875616488187,0.997754957226847,-0.440879340738661
-0.0348,-0.525174629961293,0.999570154695225,-0.474395524733932
-0.0347,-0.492727341548293,0.999964908278481,-0.507237566730189
-0.0346,-0.459579860621488,0.998938657010171,-0.539358796388684
-0.0345,-0.425779291565072,0.996492859249504,-0.570713567684433
-0.0344,-0.391373666837202,0.992630990608929,-0.601257323771728
-0.0343,-0.356411878713249,0.9873585390151,-0.630946660301852
-0.0342,-0.320943609807212,0.980682996910236,-0.659739387103025
-0.0341,-0.285019262469977,0.972613850604944,-0.687594588134967
-0.034,-0.248689887164855,0.963162566797658,-0.714472679632804
-0.0339,-0.212007109922053,0.952342576279833,-0.740335466357779
-0.0338,-0.175023058975274,0.94016925485005,-0.765146195874776
-0.0337,-0.13779029068464,0.926659901464173,-0.788869610779534
-0.0336,-0.100361714851215,0.911833713652576,-0.811471998801361
-0.0335,-0.0627905195293125,0.895711760239413,-0.8329212407101
-0.0334,-0.0251300954433354,0.878316951402657,-0.853186855959322
-0.0333,0.0125660398833559,0.85967400611749,-0.872240046000846
-0.0332,0.0502443181797687,0.839809417029284,-0.890053735209052
-0.0331,0.0878511965507435,0.818751412806095,-0.906602609356838
-0.033,0.125333233564306,0.796529918024196,-0.921863151588501
-0.0329,0.162637165194886,0.773176510643606,-0.935813675838492
-0.0328,0.199709980514409,0.748724377134085,-0.948434357648494
-0.0327,0.236498997023723,0.723208265315344,-0.959707262339066
-0.0326,0.272951935517325,0.696664434978482,-0.969616370495806
-0.0325,0.309016994374948,0.669130606358858,-0.978147600733806
-0.0324,0.344642923174519,0.640645906533561,-0.985288829708079
-0.0323,0.379779095521804,0.61125081381969,-0.991029909341493
-0.0322,0.414375580993283,0.580987100252461,-0.995362681245744
-0.0321,0.448383216090032,0.54989777222484,-0.998280988314872
-0.032,0.481753674101716,0.51802700937313,-0.999780683474845
-0.0319,0.514439533781509,0.485420101795272,-0.99985963557678
-0.0318,0.546394346734268,0.452123385691153,-0.99851773242542
-0.0317,0.577572703422267,0.418184177516303,-0.995756880938569
-0.0316,0.607930297694606,0.383650706742656,-0.991581004437261
-0.0315,0.637423989748691,0.348572047321814,-0.985996037070505
-0.0314,0.666011867434254,0.312998047948276,-0.979009915382529
-0.0313,0.693653305812804,0.276979261221724,-0.970632567034527
-0.0312,0.720309024887906,0.240566871808994,-0.960875896696899
-0.0311,0.745941145424182,0.203812623707886,-0.949753769132067
-0.031,0.77051324277579,0.166768746716102,-0.937281989491891
-0.0309,0.793990398647837,0.129487882209846,-0.923478280857681
-0.0308,0.816339250717183,0.0920230083375499,-0.908362259054732
-0.0307,0.837528040042141,0.0544273647350107,-0.891955404777151
-0.0306,0.857526656193652,0.0167543768689817,-0.874281033062633
-0.0305,0.876306680043864,-0.0209424198833578,-0.855364260160505
-0.0304,0.893841424151265,-0.0586094563110985,-0.835231967840165
-0.0303,0.910105970684995,-0.0961932054943755,-0.813912765190619
-0.0302,0.925077206834458,-0.133640258869071,-0.791436947965385
-0.0301,0.938733857653874,-0.170897402123277,-0.767836455530596
-0.03,0.951056516295154,-0.207911690817761,-0.743144825477392
-0.0299,0.962027671586087,-0.24463052562291,-0.717397145963176
-0.0298,0.971631732914674,-0.28100172706525,-0.690630005849423
-0.0297,0.979855052384247,-0.316973609677352,-0.662881442706894
-0.0296,0.986685944207868,-0.352495055445678,-0.634190888762189
-0.0295,0.992114701314478,-0.387515586452103,-0.604599114862373
-0.0294,0.996133609143173,-0.421985436605784,-0.574148172537387
-0.0293,0.998736956606017,-0.455855622363498,-0.542881334242518
-0.0292,0.999921044203816,-0.489078012337955,-0.51084303186586
-0.0291,0.9996841892833,-0.521605395695108,-0.478078793588191
-0.029,0.998026728428271,-0.553391549243345,-0.444635179184925
-0.0289,0.9949510169813,-0.58439130311917,-0.410559713862129
-0.0288,0.990461425696651,-0.614560604976063,-0.375900820720587
-0.0287,0.984564334529205,-0.643856582585253,-0.340707751943951
-0.0286,0.977268123568193,-0.672237604759516,-0.305030518808676
-0.0285,0.968583161128631,-0.699663340513367,-0.268919820615263
-0.0284,0.958521789017376,-0.72609481637559,-0.232426972641785
-0.0283,0.947098304994744,-0.751494471772695,-0.195603833222048
-0.0282,0.934328942456612,-0.775826212404519,-0.158502730052091
-0.0281,0.920231847365869,-0.799055461536221,-0.121176385829648
-0.028,0.904827052466019,-0.821149209133704,-0.0836778433323133
-0.0279,0.888136448813546,-0.842076058772691,-0.0460603900408542
-0.0278,0.870183754669526,-0.861806272254754,-0.00837748241477138
-0.0277,0.850994481794692,-0.88031181186692,0.0293173300722288
-0.0276,0.830595899195812,-0.897566380224798,0.0669704810289865
-0.0275,0.809016994374946,-0.913545457642602,0.104528463267656
-0.0274,0.78628843213662,-0.928226336976962,0.141937904840343
-0.0273,0.762442511011448,-0.94158815589503,0.179145644883582
-0.0272,0.737513117358174,-0.953611926520976,0.216098809162803
-0.0271,0.711535677209284,-0.964280562418815,0.252744885209532
-0.027,0.684547105928687,-0.973578902873161,0.289031796944475
-0.0269,0.656585755752957,-0.981493734433433,0.324907978680476
-0.0268,0.6276913612907,-0.988013809690895,0.360322448400195
-0.0267,0.597904983057518,-0.993129863261835,0.395224880204318
-0.0266,0.567268949126755,-0.996834624954185,0.429565675827431
-0.0265,0.535826794978994,-0.999122830098858,0.463296035119866
-0.0264,0.503623201635761,-0.999991227031138,0.496368025395377
-0.0263,0.470703932165334,-0.999438581711464,0.528734649546131
-0.0262,0.437115766650933,-0.997465679479078,0.560349912828145
-0.0261,0.402906435713661,-0.994075323936005,0.591168888222343
-0.026,0.368124552684676,-0.989272332962988,0.621147780278313
-0.0259,0.332819544522988,-0.983063531873016,0.650243987350028
-0.0258,0.297041581577035,-0.975457743712173,0.678416162135138
-0.0257,0.260841506289896,-0.966465776721618,0.705624270431722
-0.0256,0.224270760949379,-0.956100408978472,0.731829648029093
-0.0255,0.187381314585727,-0.944376370237482,0.756995055651756
-0.0254,0.150225589120758,-0.931310320999221,0.781084731878463
-0.0253,0.112856384873481,-0.916920828834617,0.804064443961135
-0.0252,0.0753268055279312,-0.901228341999411,0.82590153647148
-0.0251,0.0376901826699318,-0.884255160376071,0.84656497770614
-0.025,1.40896279965604e-15,-0.86602540378444,0.866025403784438
-0.0249,-0.0376901826699343,-0.846564977706138,0.884255160376073
-0.0248,-0.075326805527932,-0.825901536471479,0.901228341999411
-0.0247,-0.112856384873482,-0.804064443961135,0.916920828834617
-0.0246,-0.150225589120759,-0.781084731878463,0.931310320999221
-0.0245,-0.187381314585722,-0.756995055651759,0.94437637023748
-0.0244,-0.22427076094938,-0.731829648029092,0.956100408978472
-0.0243,-0.260841506289897,-0.705624270431721,0.966465776721618
